week,Donald Trump,Jeb Bush,Rand Paul,Ben Carson,Marco Rubio,Chris Christie,Lindsey Graham,Rick Perry,Scott Walker,Ted Cruz,Carly Fiorina,Rick Santorum,Mike Huckabee,Bobby Jindal,John Kasich,George Pataki
1,2,1,6,3,7,5,16,10,8,4,12,9,13,15,14,11
2,2,3,6,5,10,1,13,9,8,7,12,11,4,15,14,16
3,1,4,8,5,6,2,15,10,9,3,11,12,7,13,14,16
4,1,6,8,5,7,10,12,11,9,3,15,13,2,4,14,16
5,1,3,8,4,9,5,12,10,2,6,15,13,7,11,14,16
6,3,5,2,6,10,4,13,12,1,9,11,15,7,8,16,14
7,3,4,5,2,11,6,13,12,1,7,15,9,10,8,14,16
8,1,3,5,4,9,6,15,10,2,7,11,13,8,12,14,16
9,2,3,5,4,9,6,14,11,1,7,8,13,12,10,15,16
10,3,4,5,1,8,6,11,10,2,7,12,13,9,14,15,16
11,1,4,5,2,9,8,6,12,3,7,11,13,10,14,15,16
12,1,5,6,4,8,7,13,14,3,2,12,10,9,11,15,16
13,2,4,3,6,7,8,15,13,5,1,14,9,11,10,12,16
14,2,6,8,7,5,9,14,12,4,1,3,11,10,13,15,16
15,5,3,1,6,7,8,14,12,4,2,9,10,11,13,15,16
16,5,4,2,6,1,7,14,12,8,3,9,13,10,11,15,16
17,6,5,2,8,1,7,12,15,4,3,10,9,14,11,13,16
18,1,4,3,6,5,7,15,14,8,2,9,11,10,13,12,16
19,4,7,6,1,9,10,13,12,8,5,2,11,3,15,14,16
20,5,1,6,2,3,7,16,11,9,4,8,12,10,13,15,14
21,5,2,1,3,6,10,9,14,8,4,12,13,7,11,15,16
22,5,7,2,3,9,12,14,15,11,6,10,1,8,13,16,4
23,6,7,1,8,9,5,2,3,10,4,13,12,11,14,16,15
24,5,2,6,7,1,4,3,10,9,8,11,12,13,15,14,16
25,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
